	GSM2358163	GSM2358164	GSM2358165	GSM2358166	GSM2358167	GSM2358168	GSM2358169	GSM2358170	GSM2358171	GSM2358172	GSM2358173	GSM2358174	GSM2358175	GSM2358176	GSM2358177	GSM2358178	GSM2358179
FKBP4	2309	2245	1864	1752	1565	2194	2083	1878	1378	1059	1232	902	3195	2337	2340	1424	1274
KDM1A	764	667	548	690	653	832	742	643	595	777	846	846	893	780	690	864	771
RBM6	1011	873	567	779	734	807	1011	1060	1329	1269	1763	1336	846	742	617	902	706
CAMKK1	3	2	0	4	3	0	0	3	3	6	2	2	1	1	3	3	7
RECQL	719	689	541	654	702	918	813	730	546	674	838	730	1048	915	721	663	759
VPS50	363	318	245	438	412	609	368	318	284	396	490	467	370	316	280	592	437
HSPB6	7	3	7	12	6	2	11	6	8	28	18	15	5	7	3	13	23
ARHGAP33	13	5	4	4	2	18	9	5	10	18	18	20	3	6	1	17	16
NDUFAB1	1045	873	750	675	668	686	769	694	825	645	766	749	1038	763	867	875	708
PDK4	312	284	238	574	397	623	363	225	406	278	450	357	697	642	360	1262	1496
SLC22A16	0	0	0	2	0	2	1	1	0	0	1	0	0	1	0	2	1
ZMYND10	9	4	3	1	3	0	6	6	14	2	4	5	11	4	4	1	2
ABCB5	1	1	1	0	0	0	0	2	4	0	2	0	1	3	5	0	0
ARX	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0
SLC25A13	1565	1345	1245	1699	1457	2138	1245	1159	1380	1814	2007	2085	1025	808	1009	2318	1895
ST7	613	535	533	733	666	843	544	536	381	558	684	544	604	475	431	727	656
CDC27	1120	989	815	936	920	1311	1041	806	762	936	1141	1035	1318	1009	1123	1249	1023
SLC4A1	2	4	3	1	1	4	1	2	4	4	5	2	3	2	1	2	2
CALCR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
HCCS	429	375	355	394	396	472	337	318	306	449	517	573	538	379	457	593	519
DVL2	188	157	142	205	196	223	192	176	159	244	223	236	141	126	98	163	212
PRSS22	2	0	1	2	0	8	0	0	0	1	2	0	0	0	0	0	0
UPF1	1711	1431	1298	1394	1379	1878	1184	1090	787	1081	891	1089	2325	1635	1824	1268	1196
SKAP2	278	212	166	183	216	334	291	217	237	276	265	327	297	208	263	284	278
SLC25A5	4481	3829	3895	3881	3867	5242	3252	2967	3508	4241	4492	5364	4860	3581	4624	6113	5070
MCUB	66	70	39	58	69	56	59	55	34	43	64	46	60	53	54	81	85
HOXA11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLR2J	529	427	493	403	452	581	285	316	231	360	299	464	415	302	408	425	430
DHX33	615	597	529	466	438	575	543	468	447	475	533	562	687	532	548	608	452
MEOX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THSD7A	24	14	19	35	41	56	14	14	11	31	47	36	15	22	15	64	98
LIG3	426	345	280	276	251	330	469	421	316	277	313	248	461	398	373	266	291
RPAP3	439	425	318	338	301	442	367	325	332	334	409	357	475	353	420	421	361
ACSM3	479	343	383	375	296	420	349	243	198	83	95	98	290	170	235	565	544
REXO5	33	43	41	58	50	37	54	44	45	54	61	62	86	63	71	71	54
CIAPIN1	615	543	458	613	503	774	436	431	468	568	639	686	733	570	553	718	673
SPPL2B	368	280	227	284	381	370	183	223	247	364	319	443	194	150	175	225	252
FAM214B	213	189	147	244	227	462	207	163	193	445	453	521	248	219	248	392	408
COPZ2	415	402	373	405	407	552	365	330	293	393	437	554	504	409	392	722	591
PRKAR2B	2	0	0	1	0	0	1	2	0	0	2	2	0	0	0	0	0
MSL3	337	262	259	332	341	605	285	284	366	491	496	572	315	305	269	433	354
CREBBP	650	529	522	802	628	1044	625	528	446	705	507	729	661	538	489	694	651
TSPOAP1	29	21	12	27	27	47	22	21	27	64	37	45	11	10	12	18	19
MPO	0	2	1	3	2	0	1	4	3	2	2	4	8	4	11	6	4
PON1	7162	6203	6079	6266	6220	8927	3849	3763	5010	5844	6906	6849	2213	1760	1673	8560	7392
GCFC2	486	427	330	472	417	523	239	235	317	337	424	413	339	232	337	477	413
WDR54	34	18	21	32	45	46	19	8	14	37	26	38	20	14	22	26	32
CROT	254	264	182	350	402	561	281	272	273	341	476	380	248	201	173	690	824
ABCB4	4501	3700	3613	5418	5201	5919	2560	2158	1938	2463	2960	3210	2546	1815	2670	4653	3868
KMT2E	502	474	403	469	498	702	541	453	411	485	571	540	487	427	371	538	480
RHBDD2	554	482	481	581	643	836	472	523	362	761	583	905	994	735	790	743	750
SOX8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IBTK	1859	1763	1382	1431	1154	1789	1777	1486	1208	1262	1371	1437	2064	1500	1724	1645	1297
ZNF195	309	293	185	251	242	322	310	249	367	330	467	367	215	241	214	267	233
MYCBP2	1320	1139	986	1322	1189	1739	1235	1027	988	1090	1146	1214	1332	1203	993	1205	1031
FBXL3	988	874	790	791	671	1053	944	924	825	835	1030	960	743	597	522	1053	859
ITGAL	63	58	60	114	127	170	103	54	74	179	145	123	69	65	52	122	114
PDK2	333	310	290	367	424	606	364	305	288	367	344	429	457	349	383	545	486
ITGA3	165	138	108	159	181	208	60	69	57	128	120	206	237	199	232	271	484
ZFX	866	777	597	713	687	871	441	406	510	524	590	620	839	720	702	1116	1010
LAMP2	6094	5153	5016	7829	8269	10999	4701	4732	4779	9624	10824	12372	6223	4836	5283	12307	11408
ITGA2B	0	1	0	0	0	0	2	2	0	1	1	0	1	2	2	1	1
ASB4	13	11	8	11	10	14	12	17	9	11	22	10	12	11	1	6	12
GDE1	872	790	663	763	757	1015	783	788	575	839	935	852	966	823	795	1095	988
REX1BD	102	84	98	109	140	121	55	72	68	118	99	138	59	49	53	98	86
CRLF1	12	8	11	9	13	18	12	16	26	15	17	17	17	22	14	13	9
OSBPL7	2	0	0	0	1	0	2	0	1	6	4	7	5	1	3	5	6
TMEM98	540	520	425	439	534	610	328	321	346	441	497	539	583	422	440	606	597
YBX2	5	5	4	6	2	3	7	4	15	14	23	18	8	7	9	9	2
KRT33A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K14	320	231	204	404	327	587	160	173	161	243	227	270	261	185	204	290	311
ABCC8	6	12	3	10	8	7	42	39	13	11	18	17	15	25	14	11	9
CACNG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM132A	18	10	15	49	60	74	5	8	6	26	21	41	22	23	13	68	131
AP2B1	1600	1416	1263	1661	1587	2134	1476	1264	892	1344	1516	1602	1316	1146	1171	1764	1667
TAC1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ZNF263	458	356	333	338	300	450	336	264	353	438	424	436	462	327	415	470	419
CX3CL1	35	38	23	21	31	68	13	20	19	32	27	42	13	6	14	71	106
SPATA20	811	619	612	809	880	1209	524	539	442	1090	887	1355	346	276	354	672	728
CACNA1G	3	0	0	0	2	0	1	1	0	0	2	1	2	0	0	1	2
TNFRSF12A	943	614	614	1230	1718	1792	184	224	319	1481	1172	1757	461	364	539	953	1251
DLX6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K9	203	166	141	199	191	315	239	196	189	262	246	300	233	218	169	242	266
RALA	724	602	578	445	450	627	500	405	485	540	691	697	535	388	549	838	671
BAIAP2L1	1209	1105	940	1167	1180	1787	855	874	732	1439	1388	1630	1308	1055	1332	1481	1501
KDM7A	567	591	344	374	380	590	635	604	720	510	582	589	512	464	417	442	389
ETV1	241	193	146	183	227	240	205	175	144	183	203	205	221	192	165	224	211
AGK	348	286	252	319	240	386	293	253	197	279	292	412	304	257	230	408	405
ALDH3B1	33	32	16	37	25	53	15	7	10	15	22	23	21	15	29	62	37
TTC22	117	83	80	128	131	171	68	54	50	121	143	160	97	82	88	188	187
PHTF2	182	143	149	126	128	128	117	113	113	103	167	183	154	126	96	126	111
CCL26	2	2	0	0	0	0	0	0	0	1	0	2	0	0	0	2	4
FARP2	401	298	282	371	345	478	322	295	317	422	522	513	331	272	259	702	602
USH1C	1	4	5	7	10	8	2	0	2	21	10	48	11	8	9	43	76
GGCT	391	351	302	285	280	371	365	314	315	314	333	317	420	337	400	523	437
DBF4	82	76	83	54	68	96	92	78	94	81	96	89	97	78	82	96	65
TBXA2R	1	1	4	0	1	4	2	2	3	4	6	3	2	0	0	2	4
IFRD1	1186	1054	746	819	772	926	961	1004	1725	745	1215	795	711	603	665	872	674
LGALS14	0	0	0	0	0	0	1	0	1	2	1	0	0	2	0	0	0
COX10	301	225	256	236	191	287	220	177	223	175	185	218	298	264	246	196	216
GTF2IRD1	182	119	132	71	82	90	139	138	182	89	105	101	158	102	152	85	84
PAF1	749	671	606	694	668	780	654	577	631	682	707	793	724	598	630	847	701
VPS41	800	718	601	805	778	1107	620	563	448	654	745	758	650	546	508	870	813
ARHGAP44	17	10	13	15	13	27	17	15	10	21	14	29	20	20	17	20	22
ELAC2	1659	1374	1249	1232	1163	1509	1286	1173	971	1221	1275	1319	1737	1260	1340	1430	1251
SCIN	3	8	0	3	2	3	3	2	7	12	13	7	6	7	5	5	5
ARSD	2221	1784	1669	1988	1932	2352	821	683	618	766	891	933	1506	1192	1279	1758	1509
PNPLA4	573	502	487	414	344	533	213	199	190	254	293	298	396	291	367	545	383
MYH13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOR2	2045	1652	1461	2581	2282	3657	1339	1178	1544	6223	6489	7831	1224	967	1174	4267	3512
CDKL3	15	12	3	17	7	22	20	6	17	13	19	9	35	14	17	20	14
UPP2	74	68	50	67	28	61	38	56	61	12	15	14	185	190	72	363	198
PRSS21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MARK4	298	238	255	264	252	336	216	239	164	385	301	484	251	163	230	335	336
PROM1	7	4	3	10	15	6	1	2	3	2	2	2	1	5	0	1	3
CCDC124	338	261	278	323	312	416	172	156	130	156	123	228	308	217	267	178	251
CEACAM21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAFAH1B1	2193	1919	1682	1946	1773	2393	1739	1568	1480	2060	2340	2346	1740	1383	1608	2499	2211
NOS2	10	1	2	7	2	7	3	1	1	1	0	4	1	2	1	10	4
DNAH9	3	3	0	0	0	0	0	1	0	0	1	2	1	1	0	0	3
KIAA0100	4318	3713	3524	4029	3701	5237	3730	3451	2291	3213	3324	3366	5252	4379	3666	4272	4075
SLC13A2	5	1	1	8	4	14	4	1	2	6	1	8	5	0	1	8	9
GAS7	6	1	1	1	1	5	2	1	1	8	7	0	3	6	6	2	3
TRAPPC6A	222	194	208	124	120	130	182	150	103	109	82	130	306	237	256	166	167
MATK	2	2	1	1	1	0	0	0	2	1	0	1	3	4	0	0	0
CEACAM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD79B	1	0	0	0	1	0	2	2	2	0	2	2	4	2	2	0	0
SCN4A	1	0	2	0	0	0	7	5	1	0	0	1	5	7	8	0	0
ST7L	256	203	182	184	193	222	189	186	203	216	217	214	286	199	261	253	205
TKTL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAX6	4	1	2	2	3	2	9	6	3	3	4	2	8	19	5	0	0
RPUSD1	81	79	75	107	89	215	44	45	41	91	42	106	94	58	92	90	94
RHBDF1	63	53	63	90	127	162	30	31	31	147	123	141	65	57	49	104	130
LUC7L	271	248	181	185	209	212	202	189	353	367	404	393	289	253	195	255	239
CACNA2D2	5	11	11	3	1	6	3	8	6	5	3	3	7	13	10	1	1
BAIAP3	82	45	47	82	98	155	52	42	44	63	70	73	20	27	34	70	116
TSR3	298	259	246	218	277	349	181	166	118	184	154	216	270	178	244	256	228
PIGQ	239	186	211	314	353	430	123	136	83	290	240	366	195	134	131	334	282
CRAMP1	208	151	127	198	140	254	186	148	157	240	237	250	177	186	133	207	197
TEAD3	244	195	180	230	239	307	178	211	197	339	278	332	307	221	206	290	263
SELE	7	10	15	12	11	29	3	10	1	7	12	7	1	8	5	48	49
DNAJC11	1233	1096	899	1092	960	1345	1017	924	812	1027	966	1208	1323	1073	1129	1089	979
FMO3	3157	2470	2460	4809	4149	6177	840	845	1713	3809	4045	5066	980	639	1269	6323	4810
MYLIP	8	24	14	11	8	29	20	29	20	40	33	28	25	23	20	17	18
NOX1	5	3	5	8	4	6	2	7	4	11	7	1	3	3	1	8	13
E2F2	0	2	2	1	1	0	1	0	1	1	1	1	0	1	0	0	0
PSMB1	2237	1899	1719	1799	1780	2278	1434	1348	1594	1980	2235	2558	2306	1625	2227	2466	1977
SYN1	5	7	4	1	0	2	10	13	3	11	11	11	22	42	23	119	64
JARID2	136	115	120	106	111	138	111	95	108	121	144	144	193	129	153	130	130
CDKL5	127	139	128	131	119	153	180	127	132	145	211	178	146	134	120	163	120
CAMK1G	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
CDK11A	362	286	239	246	260	307	336	303	387	364	335	419	309	364	322	264	235
NADK	3299	2635	2551	2152	1793	2574	2093	2174	2341	2332	2257	2706	2203	1642	1937	3586	2831
TFAP2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFAP2D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLEC1	8	0	6	16	5	0	9	3	5	11	8	11	12	30	7	8	12
CYTH3	88	96	52	97	84	145	77	78	60	109	139	165	100	113	90	95	113
ADAM22	0	2	1	3	1	4	2	2	7	6	6	4	0	6	1	12	6
SYPL1	2058	1788	1572	2146	2077	2615	1731	1638	1497	2166	2594	2621	1856	1431	1534	2859	2428
CYB561	647	531	467	531	579	657	349	320	332	384	450	477	845	597	677	786	749
SPAG9	1773	1699	1442	1653	1525	2188	1773	1616	1524	1586	1911	1948	1894	1523	1465	1889	1737
CELSR3	17	17	10	8	15	13	5	7	8	10	7	6	11	18	16	12	14
AASS	1389	1218	938	728	700	704	1761	1243	2121	545	663	528	732	691	454	468	310
PLEKHG6	37	29	25	58	50	53	25	29	12	50	43	63	74	46	40	125	115
SS18L2	193	196	167	173	202	251	215	206	165	164	193	173	198	153	160	232	208
MPND	128	96	114	218	171	319	46	71	54	206	167	227	36	30	35	285	264
MGST1	40707	34811	31107	35334	33348	43830	25750	22396	34584	30871	38796	36881	41361	30617	34671	44601	40393
CRY1	419	428	311	405	348	547	433	368	410	455	612	571	468	416	364	596	462
PGLYRP1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NFIX	469	449	413	469	495	597	455	394	234	400	296	472	438	322	325	539	382
ST3GAL1	3991	3500	3248	3206	2935	4202	4420	3260	2743	2649	2725	2932	3219	2582	2445	3822	3003
MMP25	13	11	11	9	9	12	18	27	10	11	10	10	14	4	9	10	13
IL32	7237	5968	5504	10558	11588	14753	5652	6047	3635	8660	8390	9374	3088	2468	2871	8677	10250
PKD1	1117	845	911	745	824	1001	534	576	383	646	393	700	425	281	431	539	463
MAPK8IP2	22	14	10	11	13	10	9	9	5	4	11	5	49	29	47	20	23
MED24	668	636	511	714	657	885	537	490	427	760	697	920	683	494	551	709	701
RHOBTB2	104	104	80	143	127	240	55	80	46	138	89	146	124	109	89	167	170
HEATR5B	628	539	424	477	485	656	637	569	714	613	675	706	622	498	451	620	538
SEC62	4310	3804	3378	3581	3633	4411	3397	2966	3121	3104	3901	3551	4101	3303	3003	4640	4022
RPS20	3752	3295	3047	3325	3094	3643	2528	2391	2316	2900	2945	3486	3494	2454	3411	3955	3436
CSDE1	6726	6056	5249	5797	5557	7213	6375	5480	4350	4946	5440	5130	7566	5844	6254	7613	6465
UBE3C	2385	2024	1834	2068	1773	2418	2202	1947	1369	1816	1794	1931	3034	2290	2447	2281	2069
REV3L	573	454	393	394	424	548	491	422	388	360	420	391	523	450	404	428	432
TENM1	319	255	187	326	274	324	498	401	592	565	740	646	169	172	96	621	541
PAX7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MASP2	1928	1530	1602	2838	2748	3675	1433	1526	1379	2625	2384	3311	918	730	823	4553	3955
IYD	510	457	442	735	743	987	315	250	259	621	650	615	263	208	241	585	574
FAM76A	107	90	68	90	118	132	67	80	113	118	150	131	52	52	51	132	118
TRAF3IP3	0	6	7	5	3	2	8	3	8	4	4	7	6	7	14	7	5
POMT2	352	312	205	221	208	361	315	299	380	381	461	374	259	242	217	295	279
VTA1	857	793	713	707	691	976	744	615	611	783	898	895	922	700	771	1088	807
MLXIPL	5223	3442	2985	3067	2597	3298	4200	5000	5930	7014	5607	6942	2662	2169	2374	2998	2347
BAZ1B	1614	1433	1212	1362	1205	1576	1293	1186	989	1060	1293	1268	1686	1384	1417	1536	1195
RANBP9	584	529	466	520	440	625	648	497	508	572	658	667	777	633	620	755	557
ETV7	17	8	10	21	27	23	6	8	13	16	13	25	17	11	19	40	17
SPRTN	190	165	129	157	154	217	151	141	149	130	156	162	153	121	143	179	159
METTL13	616	510	485	523	515	692	560	460	415	534	590	554	667	482	560	672	618
DYRK4	152	124	119	134	90	174	112	93	139	152	175	180	203	169	175	185	134
ZNF207	1948	1801	1529	1740	1665	2215	1699	1522	1655	1946	2350	2441	2121	1709	1804	2218	1978
UQCRC1	2180	1729	1687	1911	1866	2615	1637	1631	1453	1717	1735	2178	2596	1869	2025	2541	2540
STARD3NL	296	244	201	239	243	317	251	216	173	233	251	250	260	223	183	319	253
CD9	375	299	273	379	385	484	459	533	368	980	1057	1420	316	243	230	683	726
HHATL	6	1	2	1	2	0	4	10	4	0	0	0	6	7	7	0	2
NCAPD2	347	243	258	276	288	339	307	268	239	313	334	391	405	373	352	332	316
IFFO1	155	113	106	155	148	160	97	134	157	201	205	217	62	60	50	170	144
GIPR	6	6	3	3	3	18	7	4	2	14	14	12	5	5	3	4	9
PHF7	87	86	77	41	43	57	87	76	104	62	84	88	116	106	99	61	46
SEMA3G	2	5	4	5	1	0	1	3	0	1	1	4	5	2	0	8	7
NISCH	703	602	479	676	691	792	602	624	528	984	882	1017	540	437	414	771	718
STAB1	4	1	0	1	8	5	11	4	3	6	7	6	4	5	2	4	19
FUZ	48	22	28	43	47	36	36	25	12	36	42	45	32	30	20	36	41
SLC6A13	49	41	49	47	36	42	27	26	73	69	83	90	26	21	33	99	76
IDS	536	582	435	713	697	1075	698	705	389	519	588	515	517	447	332	994	1003
PRSS3	60	40	59	44	59	86	47	40	38	60	33	88	36	43	55	159	197
ZNF200	82	81	51	95	91	110	77	63	74	112	118	126	84	68	69	179	149
CD4	11	13	13	2	1	1	5	11	7	5	3	11	3	4	1	7	8
LRRC23	42	37	27	47	31	30	37	20	28	16	24	33	49	34	32	38	27
BTK	0	3	0	0	1	0	2	2	3	2	4	3	4	4	4	3	2
HFE	433	365	301	623	696	780	337	278	253	630	689	727	272	231	192	557	472
SCMH1	647	568	515	365	343	419	576	552	638	430	485	473	357	320	315	360	363
FYN	46	46	67	50	56	55	52	31	45	57	85	83	40	27	53	47	48
HIVEP2	458	335	277	557	498	792	360	349	298	545	472	521	457	423	324	425	382
FMO1	5	3	6	29	12	23	1	2	0	5	6	9	2	0	2	22	16
ELOA	1711	1739	1369	1536	1456	1815	1783	1433	1249	1480	1608	1523	2332	1788	1867	1790	1447
LYPLA2	572	476	468	900	919	1317	366	366	313	897	674	1126	609	395	533	987	1093
CLCN6	452	322	262	374	357	503	433	408	672	668	720	877	244	254	220	264	227
MRC2	50	42	34	25	35	56	32	38	28	48	54	52	12	9	19	58	79
NME1-NME2	206	214	117	129	124	108	94	159	23	28	95	49	139	57	69	63	132
SLC6A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSPAN9	866	579	593	892	1002	1025	654	604	469	1277	1152	1543	668	530	503	1613	1492
BTBD7	117	114	112	79	93	117	110	120	131	138	184	162	162	137	144	187	123
APBA3	203	163	169	170	203	266	106	128	73	144	130	154	177	78	132	131	154
MKS1	120	104	79	104	107	143	119	104	109	146	141	174	142	132	105	131	120
ABHD5	560	511	401	467	469	545	434	413	336	334	348	382	414	350	344	563	525
ANOS1	1	0	0	3	2	1	11	8	16	16	17	12	0	3	0	1	2
AKAP8L	633	540	418	618	509	728	581	558	571	786	674	877	840	682	570	695	670
MBTD1	252	272	186	232	238	313	269	242	332	284	315	311	226	209	188	286	273
UTP18	434	401	365	296	302	413	347	278	350	306	385	316	583	451	480	336	290
RNF216	471	419	335	538	520	725	360	331	230	589	489	580	410	396	334	554	503
TTC19	597	492	437	535	513	704	444	351	498	630	788	737	352	348	325	568	422
PTBP1	1931	1658	1617	2001	2040	2458	1343	1297	1261	2270	1807	2589	1729	1300	1586	1805	1577
DPF1	1	7	0	2	2	0	5	2	4	3	6	9	2	2	2	5	5
SYT7	1015	819	860	5336	3645	6476	335	298	428	7780	6666	9142	172	132	224	9375	7250
LARS2	637	452	413	705	596	982	369	346	252	386	433	418	530	434	428	849	815
PIK3C2A	1340	1040	958	1144	1053	1634	1148	1041	1065	1142	1347	1325	1073	875	855	1362	1261
PLAUR	5	7	9	14	23	32	15	8	20	20	29	24	13	13	8	22	40
ANLN	3	4	2	6	5	8	12	15	22	43	59	45	5	8	8	18	14
WIZ	548	452	375	438	470	619	347	350	181	355	274	401	626	387	389	415	440
RABGAP1	428	390	335	415	361	515	396	367	339	366	476	397	427	341	388	472	438
DCN	49	28	35	39	54	41	105	84	121	122	227	165	33	27	38	92	114
QPCTL	160	107	90	80	69	128	74	86	96	102	80	96	112	83	95	88	67
PPP5C	718	611	554	610	589	899	521	420	450	586	532	651	674	464	542	629	574
CEP68	76	66	52	92	94	108	66	44	40	66	76	81	30	39	43	111	108
MAP4K3	437	445	357	493	511	606	472	424	398	488	555	597	479	407	353	731	584
ZBTB32	1	2	0	0	2	0	4	1	1	2	0	0	3	2	1	2	0
TYROBP	3	2	0	0	2	0	0	1	0	0	0	0	0	0	4	2	4
LDAF1	5	9	4	7	7	4	6	3	5	9	11	11	5	6	5	10	21
GABRA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRCA1	370	301	311	104	96	181	462	373	505	223	331	308	166	136	160	350	172
ERCC1	378	358	278	395	372	482	213	207	241	403	349	454	274	220	246	322	330
CD22	1	3	4	3	7	0	1	7	5	13	15	18	9	8	9	9	10
SEMA3B	11	15	14	5	25	18	22	20	10	19	14	29	14	14	10	5	15
MBTPS2	844	685	654	811	690	1090	634	632	484	672	806	818	681	532	607	815	676
PRICKLE3	55	42	56	63	58	88	81	60	48	87	91	63	73	47	42	74	59
LTF	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0
EXTL3	702	619	551	914	787	1213	545	481	343	1113	844	1175	638	603	566	1055	979
NR1H4	2164	2004	1710	1556	1570	2274	2189	2106	1814	1855	2238	1791	2272	1839	1720	2191	1866
ELOVL5	4514	3918	3488	3714	3307	4311	3602	3172	3641	3613	4293	4136	3591	2706	3100	4455	3535
ALOX5	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	1	1
