"Hallmark","contrast","NES","padj","condition"
"Estrogen response late","AlphaBeta vs T2D",-1.53810172635105,0.0030700744493054,"AlphaBeta"
"Androgen response","Beta vs T2D",-1.04431955897938,0.452739644054983,"Beta"
"Androgen response","BetaDMSO vs T2D",-1.03787294812519,0.425771037473165,"BetaDMSO"
"Androgen response","BetaM vs T2D",-1.05122197086709,0.441846349847359,"BetaM"
"Androgen response","AlphaBeta vs T2D",-1.33458252997289,0.0792845363440315,"AlphaBeta"
"Myogenesis","Beta vs T2D",1.6533341111373,0.00215703192407248,"Beta"
"Myogenesis","BetaDMSO vs T2D",1.63253699553514,0.00206100577081616,"BetaDMSO"
"Myogenesis","BetaM vs T2D",1.75495293081238,0.00226942628903413,"BetaM"
"Myogenesis","AlphaBeta vs T2D",1.3857280584875,0.00865451188552966,"AlphaBeta"
"Protein secretion","Beta vs T2D",1.09663553649668,0.304479418886199,"Beta"
"Protein secretion","BetaDMSO vs T2D",1.24464063488176,0.114556692242114,"BetaDMSO"
"Protein secretion","BetaM vs T2D",1.30211982967017,0.0797759760346456,"BetaM"
"Protein secretion","AlphaBeta vs T2D",-0.888198992378644,0.737682550022447,"AlphaBeta"
"Interferon alpha response","Beta vs T2D",-1.73323613057706,0.00125707102451289,"Beta"
"Interferon alpha response","BetaDMSO vs T2D",-1.78952553745839,0.00104874570014263,"BetaDMSO"
"Interferon alpha response","BetaM vs T2D",-1.78075692514591,0.000634115409004439,"BetaM"
"Interferon alpha response","AlphaBeta vs T2D",2.79015991490829,0.00257320776079461,"AlphaBeta"
"Interferon gamma response","Beta vs T2D",-1.83803026181983,0.000594021764957468,"Beta"
"Interferon gamma response","BetaDMSO vs T2D",-1.95844847808871,0.000615460364352536,"BetaDMSO"
"Interferon gamma response","BetaM vs T2D",-1.8831096097052,0.000634115409004439,"BetaM"
"Interferon gamma response","AlphaBeta vs T2D",2.18947404123144,0.00274514110025255,"AlphaBeta"
"Apical junction","Beta vs T2D",1.69811482034895,0.00215703192407248,"Beta"
"Apical junction","BetaDMSO vs T2D",1.47949389386837,0.00367755222124154,"BetaDMSO"
"Apical junction","BetaM vs T2D",1.65097369224744,0.00226942628903413,"BetaM"
"Apical junction","AlphaBeta vs T2D",1.73564528856109,0.00417397111611988,"AlphaBeta"
"Apical surface","Beta vs T2D",-0.967348987641631,0.546453880658902,"Beta"
"Apical surface","BetaDMSO vs T2D",-1.09083815549903,0.361334560057689,"BetaDMSO"
"Apical surface","BetaM vs T2D",-0.989632759517057,0.534377986994656,"BetaM"
"Apical surface","AlphaBeta vs T2D",-0.918822486053198,0.688419210446606,"AlphaBeta"
"Hedgehog signaling","Beta vs T2D",1.1603095614211,0.285306101746496,"Beta"
"Hedgehog signaling","BetaDMSO vs T2D",1.14764655235324,0.277101569378982,"BetaDMSO"
"Hedgehog signaling","BetaM vs T2D",1.15324503821887,0.296073307089219,"BetaM"
"Hedgehog signaling","AlphaBeta vs T2D",0.880495330865898,0.737682550022447,"AlphaBeta"
"Complement","Beta vs T2D",-1.63359257927044,0.000947184966280215,"Beta"
"Complement","BetaDMSO vs T2D",-1.65246261065384,0.000615460364352536,"BetaDMSO"
"Complement","BetaM vs T2D",-1.66986956297797,0.00103659168653467,"BetaM"
"Complement","AlphaBeta vs T2D",-1.45327275625994,0.00865451188552966,"AlphaBeta"
"Unfolded protein response","Beta vs T2D",-1.75824131515008,0.000594021764957468,"Beta"
"Unfolded protein response","BetaDMSO vs T2D",-1.62732276080419,0.00193753390684337,"BetaDMSO"
"Unfolded protein response","BetaM vs T2D",-1.63287187959,0.00228662520252966,"BetaM"
"Unfolded protein response","AlphaBeta vs T2D",-1.29231940836363,0.107060545658403,"AlphaBeta"
"Pi3k akt mtor signaling","Beta vs T2D",-0.979164958039979,0.546453880658902,"Beta"
"Pi3k akt mtor signaling","BetaDMSO vs T2D",-1.10534667596681,0.327203633645199,"BetaDMSO"
"Pi3k akt mtor signaling","BetaM vs T2D",-0.996005699699516,0.534377986994656,"BetaM"
"Pi3k akt mtor signaling","AlphaBeta vs T2D",-1.06963103605652,0.44188849498584,"AlphaBeta"
"Mtorc1 signaling","Beta vs T2D",-1.61517299924222,0.00125707102451289,"Beta"
"Mtorc1 signaling","BetaDMSO vs T2D",-1.65115812146234,0.000615460364352536,"BetaDMSO"
"Mtorc1 signaling","BetaM vs T2D",-1.56681545790679,0.00226942628903413,"BetaM"
"Mtorc1 signaling","AlphaBeta vs T2D",-1.70561000196625,0.000789340742611771,"AlphaBeta"
"E2f targets","Beta vs T2D",-1.35020588240682,0.0379674889166761,"Beta"
"E2f targets","BetaDMSO vs T2D",-1.35467969739126,0.0334771611367356,"BetaDMSO"
"E2f targets","BetaM vs T2D",-1.16777756292688,0.221683295626556,"BetaM"
"E2f targets","AlphaBeta vs T2D",-0.611937256194253,0.999885044257961,"AlphaBeta"
"Myc targets v1","Beta vs T2D",-1.01108551273691,0.497317401083091,"Beta"
"Myc targets v1","BetaDMSO vs T2D",-0.844479320827302,0.838279534921538,"BetaDMSO"
"Myc targets v1","BetaM vs T2D",-0.756639163922244,0.975769665350761,"BetaM"
"Myc targets v1","AlphaBeta vs T2D",-0.821082160571187,0.880382034436577,"AlphaBeta"
"Myc targets v2","Beta vs T2D",-1.21788755668572,0.227357462953892,"Beta"
"Myc targets v2","BetaDMSO vs T2D",-1.33607366601556,0.114944756735802,"BetaDMSO"
"Myc targets v2","BetaM vs T2D",-1.33665865433385,0.120126304228446,"BetaM"
"Myc targets v2","AlphaBeta vs T2D",-0.867774900487929,0.737682550022447,"AlphaBeta"
"Epithelial mesenchymal transition","Beta vs T2D",2.72569864367398,0.00215703192407248,"Beta"
"Epithelial mesenchymal transition","BetaDMSO vs T2D",2.69495678473504,0.00206100577081616,"BetaDMSO"
"Epithelial mesenchymal transition","BetaM vs T2D",2.7465264013033,0.00226942628903413,"BetaM"
"Epithelial mesenchymal transition","AlphaBeta vs T2D",2.69782320489629,0.00274514110025255,"AlphaBeta"
"Inflammatory response","Beta vs T2D",-1.08109546828644,0.359942863635626,"Beta"
"Inflammatory response","BetaDMSO vs T2D",-1.14546079415151,0.223290825073886,"BetaDMSO"
"Inflammatory response","BetaM vs T2D",-1.10795752116511,0.304808584654541,"BetaM"
"Inflammatory response","AlphaBeta vs T2D",1.57891981228318,0.00417397111611988,"AlphaBeta"
"Xenobiotic metabolism","Beta vs T2D",-2.3047539926707,0.000594021764957468,"Beta"
"Xenobiotic metabolism","BetaDMSO vs T2D",-2.35165876130786,0.000615460364352536,"BetaDMSO"
"Xenobiotic metabolism","BetaM vs T2D",-2.33010178132448,0.000634115409004439,"BetaM"
"Xenobiotic metabolism","AlphaBeta vs T2D",-2.35034177467628,0.000789340742611771,"AlphaBeta"
"Fatty acid metabolism","Beta vs T2D",-2.094031297643,0.000594021764957468,"Beta"
"Fatty acid metabolism","BetaDMSO vs T2D",-2.11469718128143,0.000615460364352536,"BetaDMSO"
"Fatty acid metabolism","BetaM vs T2D",-2.0996043035475,0.000634115409004439,"BetaM"
"Fatty acid metabolism","AlphaBeta vs T2D",-2.2064364747127,0.000789340742611771,"AlphaBeta"
"Oxidative phosphorylation","Beta vs T2D",-1.92920927508017,0.000594021764957468,"Beta"
"Oxidative phosphorylation","BetaDMSO vs T2D",-1.89685611852917,0.000615460364352536,"BetaDMSO"
"Oxidative phosphorylation","BetaM vs T2D",-1.90805633411824,0.000634115409004439,"BetaM"
"Oxidative phosphorylation","AlphaBeta vs T2D",-1.91469410432479,0.000789340742611771,"AlphaBeta"
"Glycolysis","Beta vs T2D",-1.35111578894205,0.0393796722566945,"Beta"
"Glycolysis","BetaDMSO vs T2D",-1.41832698849941,0.0143623369998564,"BetaDMSO"
"Glycolysis","BetaM vs T2D",-1.39664014055031,0.0239207198997608,"BetaM"
"Glycolysis","AlphaBeta vs T2D",-1.36597512836651,0.029699551053298,"AlphaBeta"
"Reactive oxigen species pathway","Beta vs T2D",-1.28320412342001,0.170790414498602,"Beta"
"Reactive oxigen species pathway","BetaDMSO vs T2D",-1.35162133444404,0.114556692242114,"BetaDMSO"
"Reactive oxigen species pathway","BetaM vs T2D",-1.32299931599239,0.13797091870456,"BetaM"
"Reactive oxigen species pathway","AlphaBeta vs T2D",-1.32183592763308,0.135991583917071,"AlphaBeta"
"P53 pathway","Beta vs T2D",-0.976061138418141,0.546453880658902,"Beta"
"P53 pathway","BetaDMSO vs T2D",-0.976072119906494,0.556464617719598,"BetaDMSO"
"P53 pathway","BetaM vs T2D",-0.986106800224435,0.53809572286616,"BetaM"
"P53 pathway","AlphaBeta vs T2D",1.13688564963873,0.160316240254749,"AlphaBeta"
"Uv response up","Beta vs T2D",-1.29708909202582,0.0952715238429524,"Beta"
"Uv response up","BetaDMSO vs T2D",-1.36734283550734,0.0386657507851956,"BetaDMSO"
"Uv response up","BetaM vs T2D",-1.45686488785527,0.0128269591897466,"BetaM"
"Uv response up","AlphaBeta vs T2D",-1.35558778406414,0.0464301397936032,"AlphaBeta"
"Uv response dn","Beta vs T2D",1.63776848908417,0.00201743060038735,"Beta"
"Uv response dn","BetaDMSO vs T2D",1.76607203218252,0.00193753390684337,"BetaDMSO"
"Uv response dn","BetaM vs T2D",1.84059349730149,0.00226942628903413,"BetaM"
"Uv response dn","AlphaBeta vs T2D",1.77363513543724,0.00274514110025255,"AlphaBeta"
"Angiogenesis","Beta vs T2D",1.26012488856985,0.170790414498602,"Beta"
"Angiogenesis","BetaDMSO vs T2D",1.28091181960685,0.16083718455963,"BetaDMSO"
"Angiogenesis","BetaM vs T2D",1.35911010060109,0.111938070884162,"BetaM"
"Angiogenesis","AlphaBeta vs T2D",-0.922112277970868,0.688419210446606,"AlphaBeta"
"Heme metabolism","Beta vs T2D",-1.36189732439816,0.0379674889166761,"Beta"
"Heme metabolism","BetaDMSO vs T2D",-1.40218359919102,0.0194641630409892,"BetaDMSO"
"Heme metabolism","BetaM vs T2D",-1.38558698006471,0.027758929122201,"BetaM"
"Heme metabolism","AlphaBeta vs T2D",-1.51296578417743,0.0039781275315357,"AlphaBeta"
"Coagulation","Beta vs T2D",-1.81357837118862,0.000594021764957468,"Beta"
"Coagulation","BetaDMSO vs T2D",-1.83562915322758,0.000615460364352536,"BetaDMSO"
"Coagulation","BetaM vs T2D",-1.85164744244795,0.000634115409004439,"BetaM"
"Coagulation","AlphaBeta vs T2D",-1.89508599235971,0.000789340742611771,"AlphaBeta"
"Il2 stat5 signaling","Beta vs T2D",1.17061555800985,0.116846430405752,"Beta"
"Il2 stat5 signaling","BetaDMSO vs T2D",1.23339812076482,0.0593311758360302,"BetaDMSO"
"Il2 stat5 signaling","BetaM vs T2D",1.22820927807543,0.0580248346292213,"BetaM"
"Il2 stat5 signaling","AlphaBeta vs T2D",1.24905607938793,0.0472340307299047,"AlphaBeta"
"Bile acid metabolism","Beta vs T2D",-2.06850540118734,0.000594021764957468,"Beta"
"Bile acid metabolism","BetaDMSO vs T2D",-2.04171769978984,0.000615460364352536,"BetaDMSO"
"Bile acid metabolism","BetaM vs T2D",-2.12487833540359,0.000634115409004439,"BetaM"
"Bile acid metabolism","AlphaBeta vs T2D",-2.22906036150836,0.000789340742611771,"AlphaBeta"
"Peroxisome","Beta vs T2D",-1.8645659691651,0.000594021764957468,"Beta"
"Peroxisome","BetaDMSO vs T2D",-1.83813200278548,0.00104874570014263,"BetaDMSO"
"Peroxisome","BetaM vs T2D",-1.9095331549411,0.000634115409004439,"BetaM"
"Peroxisome","AlphaBeta vs T2D",-2.09858829036084,0.000789340742611771,"AlphaBeta"
"Allograft rejection","Beta vs T2D",-1.23848943522582,0.123681790415584,"Beta"
"Allograft rejection","BetaDMSO vs T2D",-1.28726178651144,0.0726649884514572,"BetaDMSO"
"Allograft rejection","BetaM vs T2D",-1.14823874161328,0.252002059438369,"BetaM"
"Allograft rejection","AlphaBeta vs T2D",1.15016356552998,0.14336917562724,"AlphaBeta"
"Spermatogenesis","Beta vs T2D",-1.31122462199102,0.0969497240956469,"Beta"
"Spermatogenesis","BetaDMSO vs T2D",-1.22392176575017,0.165115059125412,"BetaDMSO"
"Spermatogenesis","BetaM vs T2D",-1.12787137204383,0.304808584654541,"BetaM"
"Spermatogenesis","AlphaBeta vs T2D",-1.29680197942962,0.105390852960616,"AlphaBeta"
"Kras signaling up","Beta vs T2D",-1.10676251939899,0.312083693040934,"Beta"
"Kras signaling up","BetaDMSO vs T2D",-1.16117004815582,0.197953829282174,"BetaDMSO"
"Kras signaling up","BetaM vs T2D",-1.10476116452292,0.304808584654541,"BetaM"
"Kras signaling up","AlphaBeta vs T2D",-1.05829739555592,0.44188849498584,"AlphaBeta"
"Kras signaling dn","Beta vs T2D",-1.68296624003455,0.000594021764957468,"Beta"
"Kras signaling dn","BetaDMSO vs T2D",-1.70444191344747,0.000615460364352536,"BetaDMSO"
"Kras signaling dn","BetaM vs T2D",-1.67199962099658,0.000634115409004439,"BetaM"
"Kras signaling dn","AlphaBeta vs T2D",-1.48279889705651,0.0065145771418999,"AlphaBeta"
"Pancreas beta cells","Beta vs T2D",1.38630307371347,0.0969497240956469,"Beta"
"Pancreas beta cells","BetaDMSO vs T2D",1.25964283497243,0.171746683512318,"BetaDMSO"
"Pancreas beta cells","BetaM vs T2D",1.21562384753447,0.227911440126122,"BetaM"
"Pancreas beta cells","AlphaBeta vs T2D",-0.871337338037065,0.737682550022447,"AlphaBeta"
